Strategy,App,Iteration,Energy,Mem,CPU,Requests,Response Size,Transfer Over NW,Load Time
Cache First,Football Peek,1,24.26112,1181174.214,38.68233824,11,660079,17752,611
Cache First,Football Peek,2,29.05344,1181174.214,38.68233824,9,529385,0,279
Cache First,Football Peek,3,29.2032,1181174.214,38.68233824,10,529385,0,291
Cache First,Football Peek,4,32.04864,1181174.214,38.68233824,10,529385,0,331
Cache First,Football Peek,5,34.74432,1181174.214,38.68233824,10,529385,0,318
Cache First,Football Peek,6,31.4496,1181174.214,38.68233824,10,529385,0,304
Cache First,Football Peek,7,33.09696,1181174.214,38.68233824,10,529385,0,272
Cache First,Football Peek,8,35.04384,1181174.214,38.68233824,10,529385,0,275
Cache First,Football Peek,9,36.39168,1181174.214,38.68233824,10,529385,0,269
Cache First,Football Peek,10,25.75872,1181174.214,38.68233824,10,529385,0,291
Cache First,Dev's Coffee,1,73.3824,1456274.481,15.53721053,19,8190543,5524,1271
Cache First,Dev's Coffee,2,63.648,1456274.481,15.53721053,18,8217942,0,1563
Cache First,Dev's Coffee,3,67.09248,1456274.481,15.53721053,18,8217942,0,689
Cache First,Dev's Coffee,4,74.73024,1456274.481,15.53721053,18,8217942,0,1645
Cache First,Dev's Coffee,5,72.18432,1456274.481,15.53721053,18,8217942,0,1502
Cache First,Dev's Coffee,6,65.8944,1456274.481,15.53721053,18,8217942,0,1023
Cache First,Dev's Coffee,7,66.6432,1456274.481,15.53721053,18,8217942,0,2004
Cache First,Dev's Coffee,8,63.04896,1456274.481,15.53721053,18,8217942,0,1233
Cache First,Dev's Coffee,9,64.99584,1456274.481,15.53721053,18,8217942,0,1141
Cache First,Dev's Coffee,10,65.29536,1456274.481,15.53721053,18,8217942,0,1072
Cache First,WavePad,1,88.80768,1087809.91,24.89,7,55106,0,209
Cache First,WavePad,2,99.29088,1087809.91,24.89,7,55106,0,141
Cache First,WavePad,3,94.94784,1087809.91,24.89,7,55106,0,144
Cache First,WavePad,4,90.75456,1087809.91,24.89,7,55106,0,141
Cache First,WavePad,5,93.45024,1087809.91,24.89,7,55106,0,124
Cache First,WavePad,6,91.50336,1087809.91,24.89,7,55106,0,116
Cache First,WavePad,7,91.80288,1087809.91,24.89,7,55106,0,131
Cache First,WavePad,8,90.00576,1087809.91,24.89,7,55106,0,137
Cache First,WavePad,9,87.01056,1087809.91,24.89,7,55106,0,141
Cache First,WavePad,10,86.112,1087809.91,24.89,7,55106,0,131
Cache First,Resilient Web Design,1,50.9184,1091990.162,11.27920604,10,170890,0,278
Cache First,Resilient Web Design,2,50.76864,1091990.162,11.27920604,10,170890,0,190
Cache First,Resilient Web Design,3,54.06336,1091990.162,11.27920604,10,170890,0,181
Cache First,Resilient Web Design,4,19.01952,1091990.162,11.27920604,10,170890,0,166
Cache First,Resilient Web Design,5,32.9472,1091990.162,11.27920604,10,170890,0,188
Cache First,Resilient Web Design,6,51.51744,1091990.162,11.27920604,10,170890,0,172
Cache First,Resilient Web Design,7,51.06816,1091990.162,11.27920604,10,170890,0,158
Cache First,Resilient Web Design,8,49.4208,1091990.162,11.27920604,10,170890,0,176
Cache First,Resilient Web Design,9,51.96672,1091990.162,11.27920604,10,170890,0,167
Cache First,Resilient Web Design,10,52.11648,1091990.162,11.27920604,10,170890,0,174
Cache First,Beer,1,18.12096,1151100.523,86.70619231,24,562327,237848,436
Cache First,Beer,2,20.06784,1151100.523,86.70619231,26,586483,237495,326
Cache First,Beer,3,16.62336,1151100.523,86.70619231,26,628799,237699,276
Cache First,Beer,4,18.27072,1151100.523,86.70619231,26,619233,237495,394
Cache First,Beer,5,18.42048,1151100.523,86.70619231,26,618921,237671,390
Cache First,Beer,6,23.36256,1151100.523,86.70619231,26,621427,237496,274
Cache First,Beer,7,19.16928,1151100.523,86.70619231,26,596721,237672,276
Cache First,Beer,8,19.16928,1151100.523,86.70619231,26,621427,237496,510
Cache First,Beer,9,17.07264,1151100.523,86.70619231,26,596721,237672,306
Cache First,Beer,10,18.42048,1151100.523,86.70619231,26,618921,237671,296
Cache First,Currency Calc,1,21.41568,1164571.773,55.30688782,25,656153,68005,747
Cache First,Currency Calc,2,21.11616,1164571.773,55.30688782,22,651786,56332,470
